,isindb-Title,isindb-ISIN,isindb-Country,isindb-Description,isindb-Type
0,WESTAIM CORPORATION,CA9569093037,CANADA,SHS WESTAIM CORP ORD REG,EQUITY
0,WESTAMERICA BANCORP.,US9570901036,United States,"Equity, ISIN US9570901036, WKN 884167, WB1",Equity
0,WESTAR ENER. DL 5,US95709T1007,United States,"Equity, ISIN US95709T1007, WKN 851457, WB8",Equity
0,,US95727P1066,,COM,
0,"WESTN DIGITAL DL-,10",US9581021055,United States,"Equity, ISIN US9581021055, WKN 863060, WDC",Equity
0,"WESTERN UNION CO. DL-,01",US9598021098,United States,"Equity, ISIN US9598021098, WKN A0LA17, W3U",Equity
0,"WESTLAKE CHEM.CORP.DL-,01",US9604131022,United States,"Equity, ISIN US9604131022, WKN A0B7ET, UEO",Equity
0,,GB00B1XLC220,GB,ORD GBP0.10,
0,"WESTMORELD COAL DL 2,50",US9608781061,United States,"Equity, ISIN US9608781061, WKN 859993, WME",Equity
0,GEORGE WESTON,CA9611485090,,,
0,WESTPAC BANKING CORPORATION,AU000000WBC1,AUSTRALIA,SHS WESTPAC BANKING CORP.,EQUITY
0,"WABCO HLDGS INC. DL-,01",US92927K1025,United States,"Equity, ISIN US92927K1025, WKN A0MXAZ, WB0",Equity
0,"WEST PHARM.SVCS DL-,25",US9553061055,United States,"Equity, ISIN US9553061055, WKN 864330, WPS",Equity
0,WESTSHORE TERMINALS INVESTMENT CORP (FORMERLY,CA96145A2002,CANADA,SHS WESTSHORE TERMINAL ORD REG,EQUITY
0,,US9617651040,,COM,
0,,GB0001638955,,Hotels Restaurants & Leisure,
0,,US96208T1043,,COM,
0,,US9621491003,,COM,
0,,US9621661043,,COM,
0,,US92924F1066,,COM,
0,,GB00B2PDGW16,,Specialty Retail,
0,,JP3131000006,JP,COM STK,
0,,INE715A01015,,,
0,WHEREVERTV BROADCASTING CORP,US96328X1000,UNITED STATES OF AMERICA,SHS WHEREVERTV BROAD ORD REG,EQUITY
0,,CNE000001KJ4,CN,REGISTERED\SHARES A\CNY1.00,
0,,US9633201069,US,COM,
0,,INE716A01013,,Consumer Durables,
0,,GB00B1KJJ408,,Hotels Restaurants & Leisure,
0,,BMG9618E1075,,SHS,WHITE MOUN
0,WHITE ROCK MINERALS LTD,AU000000WRM6,AUSTRALIA,SHS WHITE ROCK MINERAL ORD REG,EQUITY
0,WHITECAP RESOURCES INC (FORMERLY SPITFIRE ENERGY,CA96467A2002,CANADA,SHS WHITECAP RESOURCES ORD REG,EQUITY
0,,US9621661043,,COM,
0,WHITEHAVEN COAL LIMITED,AU000000WHC8,AUSTRALIA,SHS WHITEHAVEN SHARES ON / AU ORD REG,EQUITY
0,WHITEFIELD,AU000000WHF1,,,
0,,US96524V1061,UNITED STATES OF AMERICA,SHS WHITEHORSE FINANCE ORD REG,EQUITY
0,,US9662441057,,COM CL A,
0,,US9668371068,US,COM,
0,WHOLEHEALTH PRODUCTS INC (FORMERLY GULF WESTERN,US96684G1058,UNITED STATES OF AMERICA,SHS WHOLEHEALTH PROD ORD REG,EQUITY
0,,AT0000831706,,WIENERBERGER AGAKTIEN OHNE NENNWERT,
0,WILD CRAZE INC,US9680801019,UNITED STATES OF AMERICA,SHS WILD CRAZE INC ORD REG,EQUITY
0,SUNCORP GROUP LTD.,AU000000SUN6,Australia,"Equity, ISIN AU000000SUN6, WKN 886254, SU4",Equity
0,"SULZER NAM. SF -,01",CH0038388911,Switzerland,"Equity, ISIN CH0038388911, WKN A0NJPK, SUL1",Equity
0,SCHNEIDER ELECTRIC,FR0000121972,France,"Equity, ISIN FR0000121972, WKN 860180, SND",Equity
0,,IE00B4X9L533,Republic of Ireland,Structured Products,
0,WILH.WILHELM.HLDG A NK 20,NO0010571698,Norway,"Equity, ISIN NO0010571698, WKN A1C04X, WML1",Equity
0,,US9691361003,,COM,
0,WILLDAN GROUP INC,US96924N1000,UNITED STATES OF AMERICA,SHS WILLDAN GROUP INC,EQUITY
0,"WILLIAM HILL PLC LS-,10",GB0031698896,United Kingdom,"Equity, ISIN GB0031698896, WKN 633847, WHI",Equity
0,WILLIAM LYON HOMES INC,US5520747008,UNITED STATES OF AMERICA,SHS WILLIAM LYON HOMES ORD REG,EQUITY
0,Williams Companies Inc.,US9694571004,United States,"Equity, ISIN US9694571004, WKN 855451, WMB",Equity
0,,DE000A1H6VM4,GB,SHARES (DT. ZERT.)/1 LS--05,
0,,US9694932040,US,COM,
